title,year,genres,cast,director,overview,rating,poster_url
PS-1: Ponniyin Selvan Part 1,2022,"Historical, Epic, Drama","Vikram, Karthi, Jayam Ravi, Aishwarya Rai Bachchan",Mani Ratnam,"Set during the Chola Empire, the film follows a clever warrior-messenger who becomes entangled in political conspiracies threatening the royal dynasty. As rival kingdoms, ambitious nobles, and hidden enemies manipulate the succession to the throne, members of the royal family struggle to protect the empire from betrayal and civil war. The story combines political intrigue, war strategy, romance, and historical spectacle while exploring loyalty, ambition, revenge, and the burden of power across one of South India’s most influential dynasties.",7.7,https://image.tmdb.org/t/p/w500/zSNyZUeqDdii0doQ9970E90kCkb.jpg
PS-2: Ponniyin Selvan Part 2,2023,"Historical, Epic, Drama","Vikram, Aishwarya Rai Bachchan, Jayam Ravi, Karthi",Mani Ratnam,"As conspiracies within the Chola Empire intensify, the battle for succession reaches a dangerous turning point involving betrayal, hidden identities, revenge, and emotional sacrifice. While political alliances shift and war looms closer, the royal family confronts painful truths tied to love, ambition, and destiny. The film combines large-scale historical drama, emotional conflict, royal politics, and war strategy while concluding the epic saga of power and legacy within the Chola dynasty.",7.3,https://image.tmdb.org/t/p/w500/1fMM5yjLYJNfO3CSQBpfC1kqeIK.jpg
Sardar Udham,2021,"Biography, Historical, Drama","Vicky Kaushal, Shaun Scott, Stephen Hogan",Shoojit Sircar,"Based on real events, the film follows revolutionary freedom fighter Udham Singh and his relentless pursuit of justice after witnessing the horrific Jallianwala Bagh massacre during British colonial rule. Over several years, he secretly plans revenge against those responsible while enduring isolation, political surveillance, and emotional trauma. The narrative combines historical realism, emotional intensity, and political resistance while exploring grief, patriotism, sacrifice, and the psychological scars left by colonial violence.",8.3,https://image.tmdb.org/t/p/w500/d4fpJXhUNukd5XnzRO1XfWf7v88.jpg
Rocketry: The Nambi Effect,2022,"Biography, Drama, Sci-Fi","R. Madhavan, Simran, Rajit Kapur",R. Madhavan,"The film tells the life story of aerospace scientist Nambi Narayanan, whose groundbreaking contributions to India’s space program are overshadowed after he is falsely accused of espionage. As his personal and professional life collapses under political pressure, media trials, and institutional betrayal, he struggles to restore both his reputation and dignity. Combining science, biography, courtroom drama, and emotional storytelling, the film explores patriotism, injustice, scientific ambition, and resilience.",8.7,https://image.tmdb.org/t/p/w500/o7A1agEoXvwyyOmIbHnUhfnC34j.jpg
Dasvi,2022,"Comedy, Political, Drama","Abhishek Bachchan, Yami Gautam, Nimrat Kaur",Tushar Jalota,"An uneducated and arrogant Chief Minister lands in jail due to corruption charges and unexpectedly decides to complete his tenth-grade education while behind bars. Initially mocked for his lack of knowledge and stubborn behavior, he slowly begins understanding the importance of education, self-respect, and social change. The film blends political satire, comedy, and emotional growth while exploring literacy, ego, governance, and personal transformation.",7.4,https://image.tmdb.org/t/p/w500/zL40soH0AYoBD5BVNu9U2B98ejD.jpg
Paatal Lok,2020,"Crime, Thriller, Psychological","Jaideep Ahlawat, Neeraj Kabi, Abhishek Banerjee",Avinash Arun,"A frustrated and overlooked Delhi police officer investigates a high-profile assassination attempt involving four suspects from deeply troubled backgrounds. As he digs deeper into the case, he uncovers horrifying connections between politics, media, caste violence, organized crime, and systemic corruption. The story presents a dark and realistic portrait of modern society while exploring power, brutality, social hierarchy, trauma, and moral decay through intense psychological crime drama.",8.1,
Farzi,2023,"Crime, Thriller, Dark Comedy","Shahid Kapoor, Vijay Sethupathi, Raashii Khanna",Raj & DK,"A talented but struggling artist frustrated by financial inequality becomes involved in the dangerous world of counterfeit currency printing alongside his closest friend. As their operations grow more sophisticated, they attract the attention of a determined government officer specializing in financial crimes. The story blends dark humor, crime, economic commentary, and emotional conflict while exploring greed, ambition, morality, and the impact of corruption on ordinary lives.",8.3,https://image.tmdb.org/t/p/w500/5KQ0E8YYwcwTEDSfaJQD6XAFl5H.jpg
The Family Man,2019,"Spy, Thriller, Drama","Manoj Bajpayee, Priyamani, Samantha Ruth Prabhu",Raj & DK,"A middle-class intelligence officer secretly working for a special government task force struggles to balance dangerous national security missions with family responsibilities and emotional exhaustion. While handling terrorism threats, espionage operations, and political conspiracies, he also faces growing distance within his own home. The story combines spy thriller action, emotional realism, humor, and social commentary while exploring duty, sacrifice, secrecy, and modern family life.",8.7,https://image.tmdb.org/t/p/w500/A0R8ALsYjWF3dTrJNPPHtkYnetY.jpg
Jai Bhim,2021,"Courtroom, Social, Drama","Suriya, Lijomol Jose, Manikandan",T. J. Gnanavel,"Based on real events, the film follows a tribal woman desperately searching for justice after her husband disappears in police custody following false accusations and brutal torture. A compassionate lawyer takes up the case and begins exposing systemic oppression, custodial violence, and discrimination faced by marginalized communities. The film combines courtroom drama, investigative storytelling, and emotional realism while exploring human rights, caste injustice, state violence, and the fight for dignity.",8.8,https://image.tmdb.org/t/p/w500/ehybiOtBUtrMkmtB39zQEtq1Jie.jpg
Vikram Vedha,2017,"Crime, Thriller, Neo-noir","R. Madhavan, Vijay Sethupathi, Shraddha Srinath",Pushkar-Gayathri,"A principled police officer leading an encounter team becomes psychologically challenged after a notorious gangster voluntarily surrenders and begins narrating morally complex stories that blur the boundaries between good and evil. As the conversations continue, the officer’s understanding of justice, morality, and truth begins collapsing under emotional and ethical conflict. Inspired by the folklore of Vikram and Betaal, the film explores morality, revenge, crime, and human duality through intense neo-noir storytelling.",8.2,https://image.tmdb.org/t/p/w500/ob9YxdzRu5lfKgz0PNrlL45dorf.jpg
Kaala,2018,"Political, Gangster, Drama","Rajinikanth, Nana Patekar, Huma Qureshi",Pa. Ranjith,"A respected gangster and community leader living in Mumbai’s Dharavi slums fights against powerful politicians and businessmen attempting to seize land from poor residents under the guise of development. As violence, caste politics, and corruption intensify, he becomes a symbol of resistance for marginalized communities. The film combines gangster drama, political commentary, emotional family conflict, and social realism while exploring land rights, identity, oppression, and collective struggle.",6.5,https://image.tmdb.org/t/p/w500/xVAZZN4Av3e6YxwLgUWTYDNtta1.jpg
Sarpatta Parambarai,2021,"Sports, Period, Drama","Arya, Dushara Vijayan, Pasupathy",Pa. Ranjith,"Set during the 1970s in North Chennai, the film follows a passionate young man who enters the world of boxing despite political unrest, social pressure, and family opposition. Under the guidance of an experienced coach, he rises through brutal competitions while battling personal failure, addiction, and emotional collapse. The film combines sports drama, period storytelling, politics, and emotional realism while exploring discipline, caste identity, masculinity, and perseverance.",8.5,https://image.tmdb.org/t/p/w500/3f2KrEoOTmQxfDWgeqqLQ1rCYWP.jpg
Airlift,2016,"War, Thriller, Drama","Akshay Kumar, Nimrat Kaur, Kumud Mishra",Raja Krishna Menon,"During the Iraqi invasion of Kuwait, a wealthy Indian businessman initially focused only on personal success suddenly finds himself responsible for protecting thousands of stranded Indian civilians trapped in a war zone. Forced to abandon his comfortable life, he organizes one of the largest civilian evacuations in history under extreme danger and uncertainty. The film combines geopolitical tension, emotional drama, patriotism, and survival while exploring leadership, humanity, and responsibility during crisis.",7.9,https://image.tmdb.org/t/p/w500/oyaxIm3kTWDQtcYQ45eN5sZ6WIz.jpg
Madras Cafe,2013,"Political, Spy, Thriller","John Abraham, Nargis Fakhri, Siddharth Basu",Shoojit Sircar,"An Indian intelligence officer is sent on a covert mission during the Sri Lankan civil conflict to investigate political conspiracies and prevent a major assassination plot. As he navigates war zones, rebel organizations, diplomatic manipulation, and hidden agendas, he slowly realizes the complexity of international politics and human cost behind violence. The film combines political realism, espionage, emotional tension, and historical conflict while exploring nationalism, secrecy, sacrifice, and moral ambiguity.",7.7,https://image.tmdb.org/t/p/w500/iQa81y965LtFp5CTYgcYeuEHAg4.jpg
Bimbisara,2022,"Fantasy, Time Travel, Action","Nandamuri Kalyan Ram, Catherine Tresa, Samyuktha Menon",Mallidi Vassishta,"A ruthless ancient king obsessed with conquest and power is mysteriously transported into the modern world, where he struggles to understand contemporary society and human values far different from his own violent beliefs. As he confronts betrayal, destiny, and emotional transformation, he begins questioning his understanding of strength and leadership. The film combines fantasy, historical elements, action, and time-travel adventure while exploring redemption, greed, and personal evolution.",6.8,https://image.tmdb.org/t/p/w500/imy0RTW2xGZNF0SCY3jf672VQmP.jpg
Mangalavaaram,2023,"Psychological, Horror, Thriller","Payal Rajput, Ajmal Ameer, Ravindra Vijay",Ajay Bhupathi,"A mysterious series of brutal deaths terrifies a small village where dark secrets, forbidden relationships, and collective fear slowly begin surfacing. As suspicion spreads among the villagers, a psychologically disturbed woman becomes connected to disturbing events rooted in trauma and social hypocrisy. The film combines psychological horror, mystery, emotional violence, and suspense while exploring repression, shame, fear, and the destructive consequences of hidden truths.",7.1,https://image.tmdb.org/t/p/w500/zZxBWGqdoQ3lX7oPjtI41Yby59j.jpg
Kadaisi Vivasayi,2021,"Rural, Drama, Slice of Life","Nallandi, Vijay Sethupathi, Yogi Babu",M. Manikandan,"An elderly farmer living a peaceful traditional life in a rural village suddenly becomes entangled in legal and social complications while trying to preserve agricultural values disappearing from modern society. Through simple daily routines and emotional interactions, the story presents a deeply human portrait of aging, land, farming, and dignity. The film explores environmental change, loneliness, rural identity, modernization, and the fading relationship between humans and nature.",8.8,https://image.tmdb.org/t/p/w500/8TNnEojAEc8Kt6HMWgQNRPcL9J3.jpg
Madaari,2016,"Social, Thriller, Drama","Irrfan Khan, Jimmy Shergill, Vishesh Bansal",Nishikant Kamat,"After losing his young son in a tragic accident caused by government negligence and corruption, a grieving father kidnaps the child of a powerful politician to expose systemic failures and force accountability from authorities. As media pressure and political panic intensify, the emotional motives behind his desperate actions slowly emerge. The film combines social commentary, emotional drama, suspense, and political criticism while exploring grief, justice, corruption, and public responsibility.",7.5,https://image.tmdb.org/t/p/w500/rrZhF166gPDzdArYMSh3mPvFjYp.jpg
Game Over,2019,"Psychological, Thriller, Horror","Taapsee Pannu, Vinodhini Vaidyanathan",Ashwin Saravanan,"A video game designer suffering from severe trauma and panic attacks becomes trapped inside her own home during a terrifying night involving a dangerous intruder and supernatural uncertainty. As fear, memory, and survival instincts collide, she must confront both physical danger and emotional scars connected to her past. The film combines psychological suspense, horror atmosphere, survival thriller elements, and emotional storytelling while exploring trauma, resilience, fear, and self-recovery.",7.1,https://image.tmdb.org/t/p/w500/xKGkQrAJt3kGCmTHepNbUZLFjEc.jpg
Bangalore Days,2014,"Drama, Friendship, Romance","Dulquer Salmaan, Nivin Pauly, Nazriya Nazim",Anjali Menon,"Three cousins from Kerala move to Bangalore hoping to begin exciting new chapters in their lives, but each soon faces unexpected emotional struggles involving marriage, identity, career pressure, and loneliness. As they navigate friendships, relationships, heartbreak, and adulthood within a rapidly changing urban environment, their bond becomes a source of strength and healing. The film combines warmth, humor, emotional realism, and coming-of-age storytelling while exploring family, self-discovery, love, and modern youth culture.",8.3,https://image.tmdb.org/t/p/w500/iFMyZw1DTGvZ8hPa0eTseSFiRT1.jpg
Evarikee Cheppoddu,2019,"Romance, Comedy, Social","Rakesh Varre, Gargeyi Yellapragada",Basava Shankar,"A young man from a Hindu family falls in love with a Christian woman in a conservative rural town where religion and social expectations strongly influence relationships and identity. As misunderstandings, family pressure, and communal tension begin affecting their bond, the couple struggles to protect both love and personal dignity. The film blends humor, romance, and social commentary while exploring interfaith relationships, prejudice, emotional maturity, and cultural conflict.",7.6,
Agent,2023,"Spy, Action, Thriller","Akhil Akkineni, Mammootty, Sakshi Vaidya",Surender Reddy,"An ambitious young man obsessed with becoming a secret agent gets recruited into a dangerous intelligence mission involving a rogue former operative planning catastrophic attacks against national security. Forced to survive brutal training, psychological manipulation, and international conspiracies, he gradually transforms from an impulsive dreamer into a determined field operative. The film combines espionage, high-octane action, emotional conflict, and global thriller elements while exploring patriotism, loyalty, identity, and sacrifice.",5.2,https://image.tmdb.org/t/p/w500/4tOaGR6mzUAEQzIgWCeVoneRIkp.jpg
Mersal,2017,"Action, Medical, Thriller","Vijay, Samantha Ruth Prabhu, Kajal Aggarwal",Atlee,"A doctor exposing corruption within the private healthcare industry becomes the target of powerful enemies after mysterious murders begin occurring across the medical system. As investigators uncover hidden connections involving identity, revenge, and social injustice, the story expands into an emotionally charged battle against exploitation and greed. The film combines mass action, emotional family drama, political commentary, and medical thriller elements while exploring healthcare inequality, sacrifice, and justice.",7.5,https://image.tmdb.org/t/p/w500/65Q1wpRPZ5E3UVUv2V5JBbJQCcj.jpg
24,2016,"Sci-Fi, Thriller, Time Travel","Suriya, Samantha Ruth Prabhu, Nithya Menen",Vikram Kumar,"A brilliant scientist invents a watch capable of controlling time, but his dangerous twin brother attempts to seize the invention for personal power and destruction. Years later, the scientist’s son unknowingly becomes connected to the device and the violent legacy surrounding it. As timelines, revenge, and destiny collide, the story evolves into an emotional and suspenseful battle across generations. The film combines science-fiction, time travel, family drama, and action thriller storytelling.",7.8,https://image.tmdb.org/t/p/w500/8d8TTADw3p75Zr4ypNWD66oqUXI.jpg
Aruvi,2017,"Drama, Social, Psychological","Aditi Balan, Lakshmi Gopalaswamy",Arun Prabu Purushothaman,"A cheerful young woman rejected by society after a traumatic personal crisis unexpectedly takes control of a television studio during a live broadcast and begins confronting the hypocrisy of modern society. Through emotional revelations and darkly humorous situations, her painful journey exposes prejudice, media sensationalism, loneliness, and human insensitivity. The film blends psychological drama, satire, emotional realism, and social commentary while exploring dignity, alienation, and the search for compassion.",8.4,https://image.tmdb.org/t/p/w500/dqyDZ3B5R7OrTjioigQ7kqt20eH.jpg
Piku,2015,"Comedy, Drama, Family","Deepika Padukone, Amitabh Bachchan, Irrfan Khan",Shoojit Sircar,"An independent architect struggling to balance career responsibilities and personal freedom becomes emotionally exhausted while caring for her aging father, whose stubborn behavior and constant health anxieties dominate daily life. During an unexpected road journey, unresolved tensions and emotional truths slowly reshape their complicated relationship. The film combines slice-of-life realism, humor, emotional warmth, and family drama while exploring aging, responsibility, loneliness, and unconditional love.",7.6,https://image.tmdb.org/t/p/w500/yo7EZWiLpLGhqs3YnlDGDBPjfTb.jpg
Jigra,2024,"Action, Prison, Thriller","Alia Bhatt, Vedang Raina",Vasan Bala,"A fiercely protective young woman embarks on a dangerous mission to rescue her younger brother after he becomes trapped inside a brutal foreign prison under mysterious circumstances. Forced to confront criminal networks, corruption, and overwhelming odds, she transforms her fear into relentless determination. The film combines emotional sibling drama, prison thriller tension, survival action, and psychological resilience while exploring sacrifice, trauma, loyalty, and the power of family bonds.",7.4,https://image.tmdb.org/t/p/w500/mhnT27mgtiMNowOhAlMWSqBoSyb.jpg
Ala Modalaindi,2011,"Romance, Comedy, Drama","Nani, Nithya Menen, Sneha Ullal",Nandini Reddy,"A young man who repeatedly experiences heartbreak and failed relationships unexpectedly reconnects with a woman whose own romantic life is equally complicated. Through humorous misunderstandings, emotional timing, and changing life situations, the two slowly develop a meaningful bond built on honesty and emotional comfort. The film blends romance, humor, emotional realism, and youthful charm while exploring destiny, friendship, commitment, and modern relationships.",7.8,https://image.tmdb.org/t/p/w500/cKX4ySefAsNhMDb2TbjLyLBCsi3.jpg
Kumari,2022,"Folklore, Horror, Fantasy","Aishwarya Lekshmi, Shine Tom Chacko",Nirmal Sahadev,"A young bride entering a mysterious feudal household in a remote village gradually discovers terrifying secrets connected to ancient rituals, dark mythology, and supernatural beliefs surrounding the family estate. As fear and isolation intensify, she becomes trapped between oppressive traditions and forces beyond human understanding. The film combines folklore horror, psychological tension, emotional drama, and fantasy while exploring patriarchy, fear, sacrifice, and inherited evil.",6.3,https://image.tmdb.org/t/p/w500/9nRd2JAPOngLX5PTyf8Bv4SCN70.jpg
Trance,2020,"Psychological, Drama, Thriller","Fahadh Faasil, Nazriya Nazim, Gautham Vasudev Menon",Anwar Rasheed,"A struggling motivational speaker battling depression and financial desperation is manipulated into becoming a celebrity spiritual preacher by a powerful corporate network exploiting religion for profit. As fame, hallucinations, addiction, and emotional trauma begin distorting his reality, he slowly loses control over both identity and morality. The film combines psychological drama, satire, thriller elements, and social commentary while exploring faith, capitalism, manipulation, mental health, and illusion.",7.3,https://image.tmdb.org/t/p/w500/jur8vAsFMtwxqyAngXeXKZnqMSe.jpg
Dhuruvangal Pathinaaru,2016,"Crime, Mystery, Thriller","Rahman, Ashwin Kumar, Yaashika Aanand",Karthick Naren,"A retired police officer revisits a traumatic case from his past involving murder, missing evidence, and a chain of seemingly disconnected events that destroyed multiple lives. As he narrates the investigation to a younger officer, hidden details and shocking truths gradually emerge through carefully layered storytelling. The film combines nonlinear suspense, crime investigation, emotional trauma, and psychological mystery while exploring guilt, perception, and the consequences of obsession.",8.2,https://image.tmdb.org/t/p/w500/3Zye7j7eunhb7jLdL8mj8xvFw5G.jpg
RangiTaranga,2015,"Mystery, Thriller, Folklore","Nirup Bhandari, Radhika Narayan, Avantika Shetty",Anup Bhandari,"A novelist and his wife return to an isolated coastal village connected to his family history after mysterious deaths and unsettling events begin occurring around them. As hidden secrets, folklore legends, and forgotten memories slowly surface, they become trapped in a dangerous mystery involving identity, revenge, and superstition. The film combines atmospheric suspense, emotional storytelling, village folklore, and investigative thriller elements.",8.3,https://image.tmdb.org/t/p/w500/bcuEuE3k0cIYD1t7HAgNLypfagx.jpg
Kantara: Chapter 1,2025,"Folklore, Action, Fantasy",Rishab Shetty,Rishab Shetty,"Set in a mythological past deeply connected to divine folklore and tribal traditions, the story explores the origins of sacred rituals, ancestral guardianship, and violent struggles surrounding land, faith, and identity. As humans challenge spiritual boundaries and ancient powers awaken, individuals become caught between destiny, greed, and devotion. The film combines folklore fantasy, spiritual symbolism, action, and historical mythology while expanding the universe established in the original story.",8.4,https://image.tmdb.org/t/p/w500/3CP7crYcSBV0k8JP6fl0XaMPpDY.jpg
Kalki,2019,"Action, Mystery, Thriller","Tovino Thomas, Samyuktha Menon, Shivajith Padmanabhan",Praveen Prabharam,"A mysterious police officer arrives in a politically unstable village plagued by violence, fear, and criminal influence after a respected officer is brutally attacked. As hidden conspiracies and personal vendettas begin surfacing, the new officer uses unconventional methods and psychological intimidation to restore order. The film combines action, suspense, investigative drama, and emotional conflict while exploring corruption, revenge, fear, and justice.",7.0,https://image.tmdb.org/t/p/w500/xnQrD0oIQn5UGWNNAfPZC0yDG6f.jpg
Anand,2004,"Romance, Drama, Slice of Life","Raja, Kamalinee Mukherjee, Satya Krishnan",Sekhar Kammula,"A cheerful and independent young woman enters the life of a quiet architect who is emotionally withdrawn after personal tragedy and family pressure. As the two spend time together inside a traditional household filled with expectations and emotional complexity, their contrasting personalities slowly reshape each other’s understanding of love, freedom, and companionship. The film combines emotional realism, subtle romance, and slice-of-life storytelling while exploring individuality, healing, family relationships, and emotional maturity.",8.1,https://image.tmdb.org/t/p/w500/nEy1ue2wOGPfGsgVAhRzurRo6Xt.jpg
Godavari,2006,"Romance, Drama, Travel","Sumanth, Kamalinee Mukherjee, Neetu Chandra",Sekhar Kammula,"A sensitive and emotionally confused young man embarks on a boat journey along the Godavari River where he unexpectedly develops a connection with a spirited woman carrying her own emotional struggles and dreams. As the scenic journey progresses, conversations, misunderstandings, and personal revelations slowly deepen their relationship. The film combines romance, travel, emotional introspection, and gentle humor while exploring loneliness, compatibility, self-discovery, and emotional vulnerability.",8.2,https://image.tmdb.org/t/p/w500/3SDynWhHwPrQ3pjouFgTKqBrI02.jpg
Aithe,2003,"Crime, Thriller, Drama","Abhishek, Mohit Chadda, Sindhu Tolani",Chandra Sekhar Yeleti,"Four unemployed young men struggling financially are manipulated into assisting a dangerous criminal who plans to escape the country while avoiding police surveillance. Initially motivated by desperation and money, they slowly realize the terrifying consequences of becoming involved in organized crime. As fear, betrayal, and survival instincts intensify, the situation spirals into psychological tension and moral conflict. The film combines realistic suspense, crime drama, emotional desperation, and survival thriller elements.",8.1,https://image.tmdb.org/t/p/w500/lgPgLUGdiJL2OzCQ9bXWr9B1Wvp.jpg
Happy,2006,"Romance, Comedy, Drama","Allu Arjun, Genelia D'Souza, Manoj Bajpayee",A. Karunakaran,"A carefree pizza delivery boy falls deeply in love with a young woman whose family plans to force her into marriage against her wishes. Determined to protect her freedom and happiness, he becomes involved in a dangerous conflict involving powerful political influence, emotional sacrifice, and social pressure. The film combines romance, humor, emotional family drama, and action while exploring youthful love, courage, rebellion, and personal choice.",7.2,https://image.tmdb.org/t/p/w500/za41IHkj6LnkilfTzv5B2qmthKD.jpg
Arya,2004,"Romance, Drama, Comedy","Allu Arjun, Anuradha Mehta, Siva Balaji",Sukumar,"A highly expressive and emotionally fearless college student falls obsessively in love with a woman already engaged to another man. Refusing to hide his feelings or follow conventional expectations, he openly pursues love while challenging ideas about sacrifice, friendship, and emotional honesty. As relationships become emotionally complicated, the story explores unrequited love, selflessness, emotional vulnerability, and youthful passion through energetic romance and drama.",7.8,https://image.tmdb.org/t/p/w500/1RU7eOgierTfTiNNQUmd1h5iKFU.jpg
Chatrapathi,2005,"Action, Drama, Emotional","Prabhas, Shriya Saran, Bhanupriya",S. S. Rajamouli,"Separated from his mother during migration and exploitation near a coastal settlement, a fearless young man grows into a protector for oppressed laborers suffering under brutal criminal control. While fighting injustice and violence within the community, he continues searching for his lost family and emotional identity. The film combines emotional family drama, action spectacle, revenge, and social conflict while exploring motherhood, resilience, power, and survival.",7.6,https://image.tmdb.org/t/p/w500/xY7vrUDFOyuQPflMiJrMbAm5xB5.jpg
Athanokkade,2005,"Action, Revenge, Thriller","Nandamuri Kalyan Ram, Sindhu Tolani, Ashish Vidyarthi",Surender Reddy,"After witnessing the brutal murder of his family as a child, a young man grows up driven by revenge against the powerful criminals responsible for destroying his life. Years later, he secretly infiltrates their world using intelligence and strategic planning while hiding his true identity. As emotional trauma and violent confrontations intensify, the story evolves into a tense battle between vengeance and justice.",7.5,https://image.tmdb.org/t/p/w500/gdUHBTXPxeP4BjW76J1dTfDEXfc.jpg
Nuvvostanante Nenoddantana,2005,"Romance, Family, Drama","Siddharth, Trisha Krishnan, Srihari",Prabhu Deva,"A wealthy and carefree city youth falls in love with a hardworking village girl whose protective brother refuses to accept him due to his privileged upbringing and lack of responsibility. Determined to prove his sincerity, the young man abandons luxury and embraces rural life filled with physical labor and emotional challenges. The film combines romance, emotional family relationships, village culture, and personal transformation while exploring love, dignity, sacrifice, and maturity.",7.8,https://image.tmdb.org/t/p/w500/zixbDSR1gOHgcATGdMaq20LjZEL.jpg
7G Rainbow Colony,2004,"Romance, Drama, Emotional","Ravi Krishna, Sonia Agarwal",Selvaraghavan,"An irresponsible and emotionally unstable young man from a lower-middle-class neighborhood becomes deeply attached to an educated woman from a different social background. While his obsession slowly transforms into genuine emotional dependence and love, personal flaws, social differences, and tragic circumstances threaten their relationship. The film combines raw emotional realism, romance, tragedy, and psychological vulnerability while exploring loneliness, immaturity, class differences, and emotional growth.",7.9,https://image.tmdb.org/t/p/w500/87qT4iZ3ksBBsiKdqHUJEtZcnum.jpg
Varsham,2004,"Romance, Action, Drama","Prabhas, Trisha Krishnan, Gopichand",Sobhan,"A young man repeatedly encounters the woman he loves during rainy moments that slowly strengthen their emotional connection despite growing opposition from a violent and possessive businessman obsessed with her. As romance turns into dangerous conflict involving kidnapping, fear, and survival, the couple fights to preserve their relationship against overwhelming odds. The film combines emotional romance, action, suspense, and melodrama while exploring obsession, fate, and courage.",7.2,https://image.tmdb.org/t/p/w500/3OkbWNeRVQopeGwdocnwk0fXW3j.jpg
Ghajini,2005,"Psychological, Action, Thriller","Suriya, Asin, Nayanthara",A. R. Murugadoss,"A wealthy businessman suffering from short-term memory loss relentlessly hunts the criminals responsible for murdering the woman he loved, using photographs, tattoos, and notes to continue his investigation despite his condition. As fragments of memory and emotional trauma repeatedly resurface, his quest for revenge becomes increasingly violent and psychologically intense. The film combines action thriller storytelling, emotional tragedy, psychological tension, and revenge drama while exploring grief, memory, obsession, and justice.",8.3,https://image.tmdb.org/t/p/w500/fWCiwGeABg5APrLGHV2IgxoP20N.jpg
Chandramukhi,2005,"Horror, Psychological, Comedy","Rajinikanth, Jyothika, Prabhu",P. Vasu,"A psychiatrist visits a wealthy family living in a mysterious ancestral mansion where strange supernatural events and psychological disturbances begin affecting everyone inside the house. As fear and suspicion intensify, hidden truths connected to a legendary dancer named Chandramukhi slowly emerge through emotional trauma and ancient secrets. The film combines horror, psychological suspense, emotional drama, and comedy while exploring fear, identity, mental instability, and supernatural belief.",7.2,https://image.tmdb.org/t/p/w500/r7lLdyiJ1e2FmDP6rvxsUDk7Uju.jpg
Sivaji: The Boss,2007,"Action, Political, Social","Rajinikanth, Shriya Saran, Suman",S. Shankar,"A wealthy software engineer returns to India with dreams of improving society through free education and healthcare initiatives but faces ruthless opposition from corrupt businessmen and political systems determined to protect their power. After losing everything through manipulation and corruption, he reinvents himself and begins fighting the system using intelligence, strategy, and dramatic transformation. The film combines social commentary, stylish action, political conflict, and emotional drama while exploring corruption, inequality, and public welfare.",7.5,https://image.tmdb.org/t/p/w500/yBvsYnhrrTs1ZgHQNQTSdVA6uo8.jpg
Pudhupettai,2006,"Gangster, Crime, Drama","Dhanush, Sneha, Sonia Agarwal",Selvaraghavan,"A vulnerable teenager escaping abuse and violence at home becomes trapped within Chennai’s brutal criminal underworld, where survival requires manipulation, brutality, and emotional detachment. As he gradually rises through gang politics and power struggles, his innocence disappears beneath cycles of violence and ambition. The film combines gangster realism, emotional darkness, political crime, and psychological transformation while exploring poverty, power, survival, and moral corruption.",8.3,https://image.tmdb.org/t/p/w500/tDHgRk7Q0YjpXennMPUXpZrB1gQ.jpg
Munna Bhai M.B.B.S.,2003,"Comedy, Drama, Medical","Sanjay Dutt, Arshad Warsi, Gracy Singh",Rajkumar Hirani,"A lovable gangster pretending to be a doctor enrolls in medical college after his parents discover the truth about his criminal lifestyle. While initially entering the institution to restore family honor, his compassionate and unconventional approach to patients slowly challenges the rigid emotional detachment practiced within the healthcare system. The film combines humor, emotional warmth, social commentary, and medical drama while exploring humanity, kindness, friendship, and redemption.",8.1,https://image.tmdb.org/t/p/w500/OjJ2eZFMr0InHxjYCQXwxDoo4v.jpg
Black,2005,"Drama, Emotional, Biography","Amitabh Bachchan, Rani Mukerji",Sanjay Leela Bhansali,"Inspired by the struggles of a deaf-blind woman and her determined teacher, the film follows a young girl trapped in darkness and silence who gradually learns to communicate, study, and experience the world through extraordinary emotional effort and guidance. As both teacher and student confront aging, illness, and emotional dependence, their bond becomes deeply transformative. The film combines emotional intensity, education, personal resilience, and psychological drama while exploring disability, communication, dignity, and perseverance.",8.2,https://image.tmdb.org/t/p/w500/7fU5dSqKRL4XHeEUz62rCKBfYok.jpg
Rang De Basanti,2006,"Patriotic, Drama, Political","Aamir Khan, Siddharth, Sharman Joshi",Rakeysh Omprakash Mehra,"A group of carefree college friends participating in a documentary about Indian freedom fighters gradually become politically awakened after personal tragedy exposes corruption and systemic injustice within modern society. As historical parallels between revolutionaries and contemporary youth begin shaping their actions, their idealism transforms into dangerous rebellion against authority. The film combines friendship, patriotism, emotional tragedy, and political commentary while exploring activism, sacrifice, corruption, and youth identity.",8.2,https://image.tmdb.org/t/p/w500/f1bF8CHzEu621bPSIg6XiUNAabh.jpg
